locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b3566,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3567,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3568,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3569,Transcription factors,genetic information processing,,,
b3571,,,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism
b3572,Amino acid related enzymes,metabolism,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis"
b3574,Transcription factors,genetic information processing,,,
b3575,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
b3577,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b3578,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b3579,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b3580,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
b3581,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
b3582,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
b3583,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
b3584,Transporters,signaling and cellular processes,,,
b3588,,,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism
b3589,,,Metabolism,Carbohydrate metabolism; Lipid metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Fatty acid degradation; Tyrosine metabolism; Chloroalkane and chloroalkene degradation; Naphthalene degradation
b3590,Translation factors,genetic information processing,,,
b3591,,,Metabolism; Genetic Information Processing,Metabolism of other amino acids; Translation,Selenocompound metabolism; Aminoacyl-tRNA biosynthesis
b3599,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Membrane transport,Fructose and mannose metabolism; Phosphotransferase system (PTS)
b3600,,,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
b3601,Transcription factors,genetic information processing,,,
b3602,Ribosome biogenesis,genetic information processing,,,
b3603,Transporters,signaling and cellular processes,,,
b3604,Transcription factors,genetic information processing,,,
b3605,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
b3606,Transfer RNA biogenesis,genetic information processing,,,
b3607,,,Metabolism,Energy metabolism; Amino acid metabolism; Glycan biosynthesis and metabolism,Sulfur metabolism; Cysteine and methionine metabolism; Exopolysaccharide biosynthesis
b3608,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b3609,Chaperones and folding catalysts; Secretion system,genetic information processing; signaling and cellular processes,Genetic Information Processing; Environmental Information Processing; Cellular Processes,"Folding, sorting and degradation; Membrane transport; Cellular community - prokaryotes",Protein export; Bacterial secretion system; Quorum sensing
b3610,Chaperones and folding catalysts,genetic information processing,,,
b3612,,,Metabolism,Carbohydrate metabolism; Energy metabolism; Amino acid metabolism,"Glycolysis / Gluconeogenesis; Methane metabolism; Glycine, serine and threonine metabolism"
b3615,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3616,,,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism"
b3617,Amino acid related enzymes,metabolism,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism"
b3619,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Biosynthesis of various nucleotide sugars
b3620,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3621,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3622,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
