locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b0467,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Homologous recombination
b0469,Exosome,signaling and cellular processes,Metabolism,Nucleotide metabolism,Purine metabolism
b0470,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination
b0472,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Homologous recombination
b0473,Protein phosphatases and associated proteins; Chaperones and folding catalysts; Membrane trafficking; Proteasome; Mitochondrial biogenesis; Exosome,metabolism; genetic information processing; signaling and cellular processes,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
b0474,Exosome,signaling and cellular processes,Metabolism,Nucleotide metabolism; Metabolism of cofactors and vitamins,Purine metabolism; Thiamine metabolism
b0475,,,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
b0477,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0478,Transporters,signaling and cellular processes,,,
b0479,Transporters,signaling and cellular processes,,,
b0480,,,Metabolism,Nucleotide metabolism; Metabolism of cofactors and vitamins,Purine metabolism; Pyrimidine metabolism; Nicotinate and nicotinamide metabolism
b0481,Transfer RNA biogenesis,genetic information processing,,,
b0483,Prokaryotic defense system,signaling and cellular processes,,,
b0485,,,Metabolism; Environmental Information Processing,Amino acid metabolism; Metabolism of other amino acids; Signal transduction,"Alanine, aspartate and glutamate metabolism; Arginine biosynthesis; D-Amino acid metabolism; Two-component system"
b0487,Transcription factors; Antimicrobial resistance genes,genetic information processing; signaling and cellular processes,,,
b0490,Transporters,signaling and cellular processes,,,
b0491,Transporters,signaling and cellular processes,,,
b0492,Chaperones and folding catalysts,genetic information processing,,,
b0494,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism,Biosynthesis of unsaturated fatty acids
b0495,Transporters,signaling and cellular processes,,,
b0496,Transporters,signaling and cellular processes,,,
b0503,Transfer RNA biogenesis,genetic information processing,,,
b0504,Transcription factors,genetic information processing,,,
b0505,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0506,Transcription factors,genetic information processing,,,
b0507,,,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
b0508,,,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
b0509,,,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
b0511,Transporters,signaling and cellular processes,,,
b0512,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0514,,,Metabolism,Carbohydrate metabolism; Lipid metabolism; Amino acid metabolism,"Glyoxylate and dicarboxylate metabolism; Glycerolipid metabolism; Glycine, serine and threonine metabolism"
b0515,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0516,Peptidases and inhibitors,metabolism,Metabolism,Nucleotide metabolism,Purine metabolism
b0517,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0518,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0520,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0521,,,Metabolism,Energy metabolism; Nucleotide metabolism; Amino acid metabolism,Nitrogen metabolism; Purine metabolism; Arginine biosynthesis
b0522,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0523,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0524,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b0525,Chaperones and folding catalysts,genetic information processing,,,
b0526,Amino acid related enzymes; Transfer RNA biogenesis,metabolism; genetic information processing,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0528,Ribosome biogenesis,genetic information processing,,,
b0529,,,Metabolism,Energy metabolism; Metabolism of cofactors and vitamins,Other carbon fixation pathways; One carbon pool by folate
b0530,Bacterial motility proteins,signaling and cellular processes,,,
b0531,Bacterial motility proteins,signaling and cellular processes,,,
b0532,Bacterial motility proteins,signaling and cellular processes,,,
b0533,Bacterial motility proteins,signaling and cellular processes,,,
b0534,Bacterial motility proteins,signaling and cellular processes,,,
b0535,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0536,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0543,Transporters,signaling and cellular processes,,,
b0550,DNA repair and recombination proteins,genetic information processing,,,
b0556,Viral proteins,Viral protein families,,,
b0560,Viral proteins,Viral protein families,Genetic Information Processing,Information processing in viruses,Virion - Bacteriophage lambda
b0564,Transcription factors,genetic information processing,Environmental Information Processing,Signal transduction,Two-component system
b0565,Peptidases and inhibitors,metabolism,,,
b0566,Transcription factors,genetic information processing,,,
b0570,Protein kinases; Two-component system; Antimicrobial resistance genes,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0571,Two-component system; Antimicrobial resistance genes,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0572,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0573,,,Environmental Information Processing,Signal transduction,Two-component system
b0574,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0575,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0576,Transporters,signaling and cellular processes,,,
b0577,Transporters,signaling and cellular processes,,,
b0578,,,Metabolism,Xenobiotics biodegradation and metabolism,Nitrotoluene degradation
b0581,,,Metabolism,Metabolism of other amino acids,Glutathione metabolism
b0583,Polyketide biosynthesis proteins,metabolism,Metabolism,Lipid metabolism; Metabolism of cofactors and vitamins; Metabolism of terpenoids and polyketides,Mycolic acid biosynthesis; Pantothenate and CoA biosynthesis; Biosynthesis of siderophore group nonribosomal peptides
b0584,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0586,Polyketide biosynthesis proteins,metabolism,Metabolism,Metabolism of terpenoids and polyketides,Biosynthesis of siderophore group nonribosomal peptides
b0588,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0589,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0590,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0591,Transporters,signaling and cellular processes,,,
b0592,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0593,,,Metabolism,Metabolism of cofactors and vitamins; Metabolism of terpenoids and polyketides,Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of siderophore group nonribosomal peptides
b0594,Polyketide biosynthesis proteins,metabolism,Metabolism,Metabolism of terpenoids and polyketides,Biosynthesis of siderophore group nonribosomal peptides
b0595,Polyketide biosynthesis proteins,metabolism,Metabolism,Metabolism of terpenoids and polyketides,Biosynthesis of siderophore group nonribosomal peptides
b0596,,,Metabolism,Metabolism of terpenoids and polyketides,Biosynthesis of siderophore group nonribosomal peptides
b0597,Polyketide biosynthesis proteins,metabolism,Metabolism,Metabolism of terpenoids and polyketides,Biosynthesis of siderophore group nonribosomal peptides
b0598,Transporters,signaling and cellular processes,,,
b0600,Amino acid related enzymes,metabolism,,,
b0604,Chaperones and folding catalysts,genetic information processing,,,
b0610,Transcription factors,genetic information processing,,,
b0611,Transfer RNA biogenesis,genetic information processing,,,
b0612,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0613,,,Environmental Information Processing,Signal transduction,Two-component system
b0614,,,Environmental Information Processing,Signal transduction,Two-component system
b0615,,,Environmental Information Processing,Signal transduction,Two-component system
b0616,,,Environmental Information Processing,Signal transduction,Two-component system
b0617,,,Environmental Information Processing,Signal transduction,Two-component system
b0618,,,Environmental Information Processing,Signal transduction,Two-component system
b0619,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0620,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0621,Transporters,signaling and cellular processes,,,
b0622,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Lipopolysaccharide biosynthesis; Cationic antimicrobial peptide (CAMP) resistance
b0624,Transporters,signaling and cellular processes,,,
b0627,Secretion system,signaling and cellular processes,Genetic Information Processing; Environmental Information Processing,"Folding, sorting and degradation; Membrane transport",Protein export; Bacterial secretion system
b0628,,,Metabolism,Metabolism of cofactors and vitamins,Lipoic acid metabolism
b0630,,,Metabolism,Metabolism of cofactors and vitamins,Lipoic acid metabolism
b0632,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
b0633,Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b0634,Glycosyltransferases; Peptidoglycan biosynthesis and degradation proteins; Chromosome and associated proteins,metabolism; genetic information processing,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
b0635,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Peptidoglycan biosynthesis; beta-Lactam resistance
b0636,Ribosome biogenesis,genetic information processing,,,
b0637,Ribosome biogenesis,genetic information processing,,,
b0638,,,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
b0639,,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
b0640,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination
b0641,Transporters,signaling and cellular processes,,,
b0642,Amino acid related enzymes; Transfer RNA biogenesis; Mitochondrial biogenesis,metabolism; genetic information processing,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0650,Chaperones and folding catalysts,genetic information processing,,,
b0651,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b0652,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport; Signal transduction,ABC transporters; Two-component system
b0653,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport; Signal transduction,ABC transporters; Two-component system
